date,net_return,equity,drawdown
2023-01-04,-0.009868259895444528,9901.317401045555,0.0
2023-01-05,0.05213449834287438,10417.517616682639,0.0
2023-01-06,0.07215731593662662,11169.217726624982,0.0
2023-01-09,0.10324010743061791,12322.328964637707,0.0
2023-01-10,-0.029084262107377287,11963.943119256859,-0.029084262107377135
2023-01-11,0.0936640426951298,13084.534398381038,0.0
2023-01-12,-0.0641168695245427,12245.595013570652,-0.06411686952454254
2023-01-13,-0.0024,12216.205585538082,-0.06636298903768367
2023-01-17,0.10096118127064342,13449.568132099039,0.0
2023-01-18,-0.12677171244886037,11744.543348295225,-0.1267717124488602
2023-01-19,-0.0940678068135175,10639.759913494809,-0.20891438230631953
2023-01-20,0.09373289760348609,11637.055439992095,-0.13476363510744716
2023-01-23,0.06774288365188337,12425.383132713996,-0.07615002870915244
2023-01-24,0.0069896713615020395,12512.232477352418,-0.06969262102249629
2023-01-25,0.04968195637805657,13133.864665484345,-0.023473130401951647
2023-01-26,6.557953324888522e-05,13134.725978198863,-0.023409090225638307
2023-01-27,0.2975379267535693,17042.805114228402,0.0
2023-01-30,-0.05500289688799635,16105.401461848282,-0.05500289688799631
2023-01-31,-0.0492803876480568,15311.721034580818,-0.10157272045564647
2023-02-01,0.00375813629233708,15369.26456909902,-0.09819630829036508
2023-02-02,0.03208551271242861,15862.395302811525,-0.06926147447590048
2023-02-03,0.0009603707995362166,15877.629084071046,-0.0683676203739837
2023-02-06,0.039789438852888284,16509.391035640532,-0.0312984907714835
2023-02-07,-0.0367550016840688,15902.588340322614,-0.06690311637453761
2023-02-08,0.12647757446757052,17913.90914136289,0.0
2023-02-09,-0.01876249213341734,17577.799562019314,-0.018762492133417297
2023-02-10,-0.016747906064136495,17283.408226140396,-0.0351961657417742
2023-02-13,0.07148252678241614,18518.86991755691,0.0
2023-02-14,0.16668212560386503,21605.634519196767,0.0
2023-02-15,0.035560122699386645,22373.93353369751,0.0
2023-02-16,0.10651700092564038,24757.13783261658,0.0
2023-02-17,0.05401905869460695,26094.49511430717,0.0
2023-02-21,0.11285905197998787,29039.4950948043,0.0
2023-02-22,0.055392965997624624,30648.078859178986,0.0
2023-02-23,-0.014528562765312045,30202.806321837175,-0.014528562765311892
2023-02-24,0.012452676042493852,30578.912084537198,-0.0022568062082976015
2023-02-27,0.02297682023333021,31281.51825043442,0.0
2023-02-28,0.049066803911476956,32816.402372481774,0.0
2023-03-01,-0.023714212749238947,32038.187224956113,-0.023714212749238905
2023-03-02,0.004993715341959429,32198.17681202995,-0.01883891943530769
2023-03-03,0.07010504945880154,34455.43158992055,0.0
2023-03-06,-0.047014902943018286,32835.512817860625,-0.047014902943018355
2023-03-07,0.10027150115143808,36127.9789791848,0.0
2023-03-08,0.02575356489945131,37058.40323051125,0.0
2023-03-09,-0.013906652283351348,36543.04490260831,-0.013906652283351306
2023-03-10,0.06984606580829773,39095.43282171147,0.0
2023-03-13,0.3516818305216211,52844.586201486025,0.0
2023-03-14,-0.025301587987468996,51507.534254047736,-0.025301587987468954
2023-03-15,-0.008921250281088297,51048.02264960565,-0.03399711646961212
2023-03-16,0.14450618762475037,58424.77778848207,0.0
2023-03-17,0.07524902047685318,62821.18508864316,0.0
2023-03-20,-0.014595121951219522,61904.30223115427,-0.014595121951219592
2023-03-21,0.059325412120216206,65576.80047303192,0.0
2023-03-22,-0.0839107222874214,60074.20378004171,-0.08391072228742125
2023-03-23,-0.099015108720018,54125.94996149236,-0.17461740171737494
2023-03-24,0.10644193129500641,59887.22060857049,-0.08676208389888185
2023-03-27,-0.01731609695463003,58850.20769016917,-0.10257580019673307
2023-03-28,-0.023606096752816483,57460.98399351169,-0.12376048268560791
2023-03-29,0.02460096432015453,58874.57961053705,-0.10220414558424706
2023-03-30,-0.015859381509373313,57940.865191289566,-0.1164426325569603
2023-03-31,0.04319748427672972,60443.76480437042,-0.0782751770692508
2023-04-03,0.026191352859135278,62026.86877649627,-0.05413395699284751
2023-04-04,-0.1021067448680351,55693.50711137147,-0.15071325972551675
2023-04-06,0.07846253369272223,60063.360789563325,-0.08407607025194785
2023-04-10,0.018553602736796918,61177.75252468979,-0.06708238152227652
2023-04-11,0.026943404997094425,62826.08948777453,-0.04194640429870633
2023-04-12,0.014517293233082554,63738.154251556436,-0.02803805931690151
2023-04-13,-0.06094659548840857,59853.53074720904,-0.08727583054584287
2023-04-14,-0.025035408245755605,58355.07317000278,-0.11012625274389576
2023-04-17,0.040113863216266046,60695.920593119474,-0.07442997896671832
2023-04-18,0.030909455587392734,62571.99845502842,-0.04582111350856788
2023-04-19,0.14350327556483106,71551.28519196255,0.0
2023-04-20,-0.026209523809523946,69675.96007912178,-0.026209523809523794
2023-04-21,0.04389887188997062,72734.65612444586,0.0
2023-04-24,-0.027898699045967132,70705.45384301804,-0.02789869904596698
2023-04-25,-0.0040038492381715834,70422.3598655141,-0.03179084609921745
2023-04-26,-0.03091033499643618,68245.58113083147,-0.061718515392906625
2023-04-27,-0.006263241259416616,67818.14259132,-0.06759519870024433
2023-04-28,0.07604129554655854,72975.12201552521,0.0
2023-05-01,0.0016297964178948045,73094.05660798155,0.0
2023-05-02,0.1558662713539462,84486.95466960191,0.0
2023-05-03,0.034516395222584165,87403.13978813043,0.0
2023-05-04,0.05965747605164502,92617.39050687941,0.0
2023-05-05,0.1033759220598471,102191.79864930501,0.0
2023-05-08,0.009763742690058488,103189.5730763511,0.0
2023-05-09,-0.08693855373551744,94218.42083250765,-0.0869385537355174
2023-05-10,0.034211393859793396,97441.76433645633,-0.05570144897917062
2023-05-11,-0.012515606936416332,96222.22151483034,-0.06751991847437466
2023-05-12,-0.0307774506064538,93260.74684491438,-0.09621927812503173
2023-05-15,0.037760219247391105,96782.29309295378,-0.0620923199154676
2023-05-16,0.038031266846361336,100463.04630757467,-0.026422502656921032
2023-05-17,0.06814757790621435,107309.35958251572,0.0
2023-05-18,-0.07159337202456055,99626.72068020733,-0.07159337202456051
2023-05-19,0.003489281507656108,99974.34635434521,-0.0683538999459804
2023-05-22,0.13221196945480357,113192.15158080986,0.0
2023-05-23,-0.003635330450895855,112780.66070536574,-0.003635330450895813
2023-05-24,0.05596773496203884,119092.73883256727,0.0
2023-05-25,-0.05819503863359103,112162.13229522585,-0.05819503863359099
2023-05-26,0.07746483145141365,120850.75296870669,0.0
2023-05-30,0.055102971584920016,127509.98857555752,0.0
2023-05-31,-0.006890345756623215,126631.40066684886,-0.006890345756623173
2023-06-01,0.1175362576532752,141515.18160262273,0.0
2023-06-02,0.006383107308637295,142418.4881925936,0.0
2023-06-05,0.062264772290914386,151286.1429299217,0.0
2023-06-06,0.22097662337662366,184716.84395824908,0.0
2023-06-07,0.04427242869490096,192894.70726113784,0.0
2023-06-08,0.051598981151298864,202847.8776252906,0.0
2023-06-09,0.008332081257186721,204538.0226245124,0.0
2023-06-12,-0.0114213767405376,202201.91681035323,-0.01142137674053767
2023-06-13,0.02659686520376177,207579.85393570046,0.0
2023-06-14,-0.0024,207081.6622862548,-0.0023999999999998467
2023-06-15,0.0941892527451171,226586.52931421384,0.0
2023-06-16,-0.034785466034755116,218704.6112948212,-0.034785466034755186
2023-06-20,0.060060863237110865,231840.19904312497,0.0
2023-06-21,0.0529310537768108,244111.74508630313,0.0
2023-06-22,-0.04094694022559735,234116.11605188804,-0.040946940225597306
2023-06-23,-0.016355516790231214,230287.02598493765,-0.05663274864746015
2023-06-26,-0.0784330578512396,212224.91035347115,-0.1306239268477587
2023-06-27,0.04756278377372532,222318.91787601155,-0.08927398066236825
2023-06-28,-0.021996850854315395,217428.60179740013,-0.10930708507888243
2023-06-29,-0.005444982698962028,216244.7068223538,-0.11415689259071593
2023-06-30,0.04532049424797631,226045.02381405162,-0.0740100451367639
2023-07-05,-0.053449814738575394,213962.95916861368,-0.1235040366739858
2023-07-06,-0.015498644895210842,210646.82324373088,-0.1370885363616613
2023-07-07,0.031568090581574906,217296.54124061,-0.10984806911364664
2023-07-10,-0.05876589191345642,204526.91618489637,-0.1621586412706687
2023-07-11,0.03122497855549851,210913.26475679202,-0.13599706281143553
2023-07-12,-0.010818520745640423,208631.49522648993,-0.14534429651170422
2023-07-13,0.3713743650324865,286111.8842920059,0.0
2023-07-14,0.1153135952904278,319104.47432503593,0.0
2023-07-17,-0.11858166054048751,281264.53587367386,-0.11858166054048735
2023-07-18,0.07836146524372652,303304.83702583157,-0.049512427967747796
2023-07-19,-0.1312708163903658,263489.76345430384,-0.17428370751731803
2023-07-20,-0.10988719841306453,234535.61153778931,-0.2650193575822626
2023-07-21,-3.8545039040369534e-05,234526.57135348624,-0.26504768743981844
2023-07-24,0.023078771670089274,239939.15654432226,-0.2480858908298379
2023-07-25,0.04819237912263859,251502.39534287236,-0.2118493610130484
2023-07-26,-0.00019590037469656473,251453.1259293876,-0.21200376001854326
2023-07-27,0.09917050187777417,276389.85862654017,-0.13385777742178306
2023-07-28,-0.0029680204487359395,275569.52787431335,-0.1364285052499089
2023-07-31,0.014593339157021393,279591.0074559235,-0.12382611354068485
2023-08-01,0.04296574777512481,291603.84416246775,-0.08618064732792297
2023-08-02,-0.013511111111111071,287663.95222356153,-0.09852736213735902
2023-08-03,0.055344360902255654,303584.5298139915,-0.04863593512398068
2023-08-04,0.012688897237943933,307436.6827158308,-0.03656417426889624
2023-08-07,0.03302392566782793,317589.448873402,-0.004747741174229714
2023-08-08,0.08344474885844706,344090.6206747357,0.0
2023-08-09,-0.008359982971476929,341214.02894525,-0.008359982971476887
2023-08-10,0.019793211488250598,347967.75038292137,0.0
2023-08-11,-0.0008294016020105465,347679.14537330583,-0.0008294016020103934
2023-08-14,0.027074744930091835,357092.4695518004,0.0
2023-08-15,0.08377794556826519,387008.94302874856,0.0
2023-08-16,-0.014091542288557288,381555.3901420091,-0.014091542288557246
2023-08-17,-0.03673133732534932,367540.3503983977,-0.05030527842067112
2023-08-18,-0.05204871194379383,348410.3485727905,-0.09973566541869494
2023-08-21,-0.11673638230352816,307738.18492329173,-0.20482926695460957
2023-08-22,-0.031565609941668835,298024.241413846,-0.22992931615095125
2023-08-23,0.08962958093672953,324736.0292807557,-0.16090820346590018
2023-08-24,-0.08127120115774238,298344.3421219129,-0.22910220165183437
2023-08-25,0.02270040160642557,305116.87850508513,-0.2116025120318219
2023-08-28,-0.02710372225004147,296847.0753762837,-0.23297101856834157
2023-08-29,0.19161544401544423,353727.55952919635,-0.0859964197186005
2023-08-30,0.08938557655225639,385345.70138013613,-0.0042976827243210725
2023-08-31,0.05675387495320079,407215.56313001784,0.0
2023-09-01,-0.0373175557710959,392019.27364205517,-0.03731755577109597
2023-09-05,0.007328622631848261,394892.23496298905,-0.03026241942303698
2023-09-06,-0.04605690806368749,376704.7196022346,-0.07492553401757285
2023-09-07,0.014097461928933977,382015.3000452768,-0.06188433195195675
2023-09-08,0.07095944432199026,409122.89345898805,0.0
2023-09-11,-0.004621728504776532,407232.038520332,-0.00462172850477649
2023-09-12,-0.01946036745406836,399307.153411657,-0.02399215542386901
2023-09-13,-0.018745314607632887,391822.01519587723,-0.04228772952996607
2023-09-14,0.033752356358940985,405046.9314820469,-0.009962683687731011
2023-09-18,-0.03878470451911924,389337.3059281398,-0.0483609884638041
2023-09-19,0.014300259141952501,394904.93029654183,-0.03475230398924489
2023-09-20,-0.006987740537784989,392145.4371065376,-0.04149720444366278
2023-09-21,0.050744251353145045,412044.5637340607,0.0
2023-09-22,0.017300214132762018,419173.0229189005,0.0
2023-09-25,0.04746657771847902,439069.73178877024,0.0
2023-09-26,0.05115652415839751,461531.0131302436,0.0
2023-09-27,-0.0040708437761066,459652.1924779622,-0.0040708437761065586
2023-09-28,0.011066958972752963,464739.14443385176,0.0
2023-09-29,0.0809773087071239,502372.4696009565,0.0
2023-10-02,-0.03345590062111796,485565.1461832013,-0.03345590062111792
2023-10-03,-0.0718096601073344,450696.8780758175,-0.10286310387626507
2023-10-04,-0.009682510378736839,446333.00087618415,-0.1115496411841308
2023-10-05,0.18105543345543368,527144.0158152862,0.0
2023-10-06,0.0832686510817477,571038.5869380406,0.0
2023-10-09,0.07669604519774005,614834.9882114942,0.0
2023-10-10,0.003744842721287791,617137.4485418911,0.0
2023-10-11,0.025109702422748195,632633.5862287121,0.0
2023-10-12,0.010406830309498363,639217.2966086838,0.0
2023-10-13,0.08174453060551042,691469.8144748838,0.0
2023-10-16,-0.0231923073700087,675433.0340004995,-0.023192307370008547
2023-10-17,-0.03676051268066542,650603.7693891838,-0.059100258941504946
2023-10-18,-0.10214667511082957,584146.7575315058,-0.1552100391032707
2023-10-19,0.0061975282106396384,587767.023540461,-0.149974429488548
2023-10-20,0.04881068744781532,616456.3360186272,-0.10848409704366258
2023-10-23,0.11300391369794278,686118.3146126262,-0.007739310885640949
2023-10-24,-0.01956738197424883,672692.7754710732,-0.02715525480757286
2023-10-25,-0.020640343347639686,658808.1656178735,-0.047235104372291725
2023-10-26,0.07373526570048324,707385.5607553554,0.0
2023-10-27,8.44720496894903e-05,707445.3150635932,0.0
2023-10-30,0.07161315789473673,758107.7081131341,0.0
2023-10-31,0.09523101220387638,830303.0725163089,0.0
2023-11-01,0.005399298063174032,834786.1262875936,0.0
2023-11-02,-0.02267614173988601,815856.3977654059,-0.022676141739885747
2023-11-03,0.09638034053858231,894488.9152126169,0.0
2023-11-06,-0.08101200675571922,822024.5731704964,-0.08101200675571929
2023-11-07,0.015370597738287375,834659.5822156874,-0.06688661198524559
2023-11-08,-0.016107165109034358,821215.5825151016,-0.08191642339144967
2023-11-09,-0.19247284431644923,663153.8835514304,-0.258622580701516
2023-11-10,0.06211612903225801,704346.4357503541,-0.2125710852627689
2023-11-13,0.023254181631606044,720725.4356988672,-0.1942600702574908
2023-11-14,-0.057958976000788184,678952.927468039,-0.24095993150831363
2023-11-15,-0.005895575507667769,674950.1092179992,-0.24543490954545155
2023-11-16,-0.013414131338320964,665896.2398061348,-0.255556744772121
2023-11-17,0.08629565217391306,723360.1901003617,-0.19131452855576025
2023-11-20,0.037675504573834576,750613.1502510178,-0.16084689537756913
2023-11-21,0.002031137724551171,752137.7489370368,-0.15914245985009623
2023-11-22,0.08760173160173164,818026.3181469498,-0.0854818833025921
2023-11-27,0.03143442545719273,843740.5054667619,-0.056734531734015214
2023-11-28,0.05966896551724128,894085.6285929579,-0.00045085703444769365
2023-11-29,0.07010562770562752,956766.0628080477,0.0
2023-11-30,-0.00522350987190405,951768.3858338672,-0.0052235098719038975
2023-12-01,0.28933599556295037,1227149.2392944514,0.0
2023-12-04,-0.020033548195895354,1202565.08586549,-0.0200335481958952
2023-12-05,0.04503833017077792,1256726.6092545497,0.0
2023-12-06,-0.06060827648931304,1180558.5754493733,-0.060608276489312884
2023-12-07,-0.024843890274314037,1151228.9077385087,-0.08394642139281105
2023-12-08,0.07765639981200075,1240629.2000729833,-0.012808998443277098
2023-12-11,0.000540558706154395,1241299.832988192,-0.012275363752748292
2023-12-12,0.036158256496227906,1286183.070738104,0.0
2023-12-13,0.022901897642322935,1315639.1037734365,0.0
2023-12-14,0.039208507809903995,1367223.3498487526,0.0
2023-12-15,-0.0017351063829787326,1364851.0718874726,-0.0017351063829785796
2023-12-18,0.03375279672578442,1410918.6126778596,0.0
2023-12-19,-0.011082170542635647,1395282.5719903847,-0.011082170542635605
2023-12-20,-0.061881931563799106,1308939.7913583142,-0.07227831598733692
2023-12-21,0.005805128205128088,1316538.354659943,-0.066892772672966
2023-12-22,-0.020725434439178556,1289252.5253037743,-0.08623182533765616
